DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP
yago,>90, ≥ 1,26206,1,14.543874210356434730483700,76765,315413,1,1,1,8897,1.079215085344570723194143,3,8.628189277284477913903563,1,1341,1,50708,128
yago,>95, ≥ 1,24401,1,14.543874210356434730483700,76765,315413,1,1,1,8897,1.079215085344570723194143,3,8.628189277284477913903563,1,1341,1,50708,128
yago,>99, ≥ 1,23259,1,14.543874210356434730483700,76765,315413,1,1,1,8897,1.079215085344570723194143,3,8.628189277284477913903563,1,1341,1,50708,128
