DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP
lubm,>25, ≥ 1,135,2,2.685393258426966292134831,144,239,1,1,1,22,1,1,6.545454545454545454545455,1,14,1,55,12
lubm,>50, ≥ 1,135,2,2.541176470588235294117647,139,216,1,1,1,22,1,1,6.318181818181818181818182,1,14,1,54,12
lubm,>75, ≥ 1,135,2,2.517647058823529411764706,139,214,1,1,1,22,1,1,6.318181818181818181818182,1,14,1,54,12
lubm,>90, ≥ 1,135,2,2.517647058823529411764706,137,214,1,1,1,22,1,1,6.227272727272727272727273,1,14,1,52,12
