DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_NSP,COUNT_CC,MIN_MCC,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_NSP,MIN_NSP,MAX_CC,MAX_MCC,COUNT_LC,MAX_NSP
dbpedia,>90, ≥ 1,790,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330
dbpedia,>95, ≥ 1,657,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330
dbpedia,>99, ≥ 1,474,1,6.962520369364475828354155,11916,38454,1,1,1,426,1,1,27.971830985915492957746479,1,268,1,5335,330
